City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temp,Wind Speed
saratov,24.0,RU,1553058464.0,92.0,51.53,46.03,28.0,3.62
tumannyy,,,,,,,,
hami,0.0,CN,1553058495.0,62.0,42.84,93.51,43.64,6.64
qitaihe,92.0,CN,1553058495.0,66.0,45.77,131.01,44.0,6.76
kuli,90.0,UA,1553058472.0,93.0,49.94,30.53,42.01,8.55
cherskiy,48.0,RU,1553058495.0,73.0,68.75,161.3,-11.0,5.41
gopalpur,0.0,IN,1553058496.0,58.0,25.6,86.94,81.35,4.74
catuday,0.0,PH,1553058497.0,67.0,16.29,119.81,89.9,5.08
nha trang,20.0,VN,1553056200.0,62.0,12.24,109.19,87.8,8.05
rungata,,,,,,,,
sovetskiy,88.0,RU,1553058498.0,97.0,56.76,48.47,33.38,10.11
brae,68.0,GB,1553057400.0,75.0,60.4,-1.35,46.4,19.46
povenets,80.0,RU,1553058499.0,96.0,62.85,34.83,33.29,3.62
pevek,48.0,RU,1553058499.0,82.0,69.7,170.27,-8.84,24.87
kavieng,8.0,PG,1553058499.0,100.0,-2.57,150.8,85.58,5.97
nikolskoye,90.0,RU,1553058335.0,98.0,59.7,30.79,35.6,4.47
szihalom,0.0,HU,1553058424.0,36.0,47.77,20.48,32.0,5.41
arlit,68.0,NE,1553058500.0,57.0,18.74,7.39,73.52,2.39
kousseri,,,,,,,,
mecca,0.0,SA,1553058393.0,51.0,21.43,39.83,80.63,3.62
puri,75.0,ID,1553054400.0,66.0,-7.54,112.45,87.8,11.41
sarab,0.0,IR,1553058501.0,58.0,38.61,44.99,37.07,3.62
smardan,88.0,RO,1553058502.0,81.0,45.48,27.93,44.18,3.96
dukat,8.0,RS,1553058488.0,80.0,42.44,22.31,37.0,1.72
makat,88.0,KZ,1553058502.0,100.0,47.65,53.35,43.82,5.97
kropotkin,0.0,RU,1553058017.0,78.0,45.43,40.58,42.01,12.12
santa eulalia del rio,,,,,,,,
verkhnevilyuysk,68.0,RU,1553058460.0,52.0,63.45,120.31,7.82,3.51
berbera,,,,,,,,
saskylakh,68.0,RU,1553058507.0,80.0,71.97,114.09,8.09,7.09
mahibadhoo,76.0,MV,1553058507.0,99.0,3.78,72.97,84.77,11.56
narayanavanam,20.0,IN,1553056200.0,58.0,13.42,79.59,86.0,11.41
tongliao,88.0,CN,1553058509.0,42.0,43.61,122.27,46.79,17.05
sabha,32.0,LY,1553058510.0,63.0,27.03,14.43,55.16,6.42
melur,40.0,IN,1553056200.0,55.0,10.03,78.34,87.8,3.36
tessalit,0.0,ML,1553058511.0,25.0,20.2,1.01,51.02,6.98
baisha,0.0,CN,1553058511.0,37.0,19.23,109.45,93.86,3.06
eskisehir,0.0,TR,1553053800.0,93.0,39.78,30.52,36.0,2.24
contai,0.0,IN,1553058224.0,79.0,21.78,87.75,84.95,4.41
bagdarin,36.0,RU,1553058416.0,26.0,54.44,113.59,20.06,5.19
zelenets,64.0,RU,1553058512.0,98.0,53.83,48.02,24.92,5.08
bud,88.0,NO,1553058091.0,75.0,62.91,6.91,42.8,16.11
xining,56.0,CN,1553058513.0,21.0,36.62,101.77,50.57,10.78
kiri buru,0.0,IN,1553058513.0,46.0,22.08,85.35,86.84,3.18
zhumadian,0.0,CN,1553058514.0,80.0,33.01,114.02,75.59,6.08
bandarbeyla,12.0,SO,1553058514.0,100.0,9.49,50.81,77.48,9.78
chenghai,75.0,CN,1553054400.0,78.0,23.46,116.77,73.4,2.24
aksu,0.0,KZ,1553056200.0,79.0,52.04,76.93,24.8,4.47
leh,44.0,IN,1553058516.0,90.0,34.16,77.58,9.44,1.16
port blair,0.0,IN,1553058517.0,97.0,11.67,92.75,85.76,1.39
severo-kurilsk,32.0,RU,1553058386.0,100.0,50.68,156.12,25.28,23.31
ternate,20.0,PH,1553058062.0,46.0,14.29,120.72,91.4,16.11
vetapalem,80.0,IN,1553058518.0,86.0,15.78,80.32,85.22,16.15
kumluca,0.0,TR,1553058518.0,58.0,36.37,30.29,44.36,1.5
qui nhon,,,,,,,,
polunochnoye,56.0,RU,1553058519.0,73.0,60.87,60.43,33.2,8.21
yerbogachen,32.0,RU,1553058519.0,55.0,61.28,108.01,19.88,3.96
vysokogornyy,56.0,RU,1553058520.0,56.0,50.1,139.13,14.75,3.06
longyearbyen,75.0,NO,1553053800.0,86.0,78.22,15.63,30.2,41.38
katsuura,75.0,JP,1553057471.0,71.0,33.93,134.5,59.0,8.05
kadykchan,,,,,,,,
cangzhou,76.0,CN,1553058521.0,68.0,38.3,116.85,65.06,5.19
jian,0.0,IN,1553058521.0,49.0,25.65,87.89,82.52,4.52
dingli,20.0,MT,1553058320.0,100.0,35.86,14.38,59.0,13.87
simao,68.0,CN,1553058521.0,48.0,22.76,100.79,74.24,5.19
nizhneyansk,,,,,,,,
chokurdakh,12.0,RU,1553058429.0,44.0,70.62,147.9,-14.6,7.09
pyapon,0.0,MM,1553058522.0,45.0,16.29,95.68,93.86,5.97
ovsyanka,0.0,RU,1553058522.0,34.0,53.58,126.91,27.89,5.19
ranau,75.0,MY,1553058017.0,70.0,5.95,116.67,89.6,6.93
eyl,0.0,SO,1553058523.0,90.0,7.98,49.82,79.73,12.01
naze,48.0,NG,1553058523.0,91.0,5.43,7.07,76.13,6.08
mehamn,0.0,NO,1553053800.0,68.0,71.03,27.85,24.8,18.34
adamovka,24.0,RU,1553058524.0,100.0,51.52,59.94,22.58,4.97
san lawrenz,20.0,MT,1553058320.0,100.0,36.06,14.2,59.0,13.87
phan thiet,0.0,VN,1553058360.0,73.0,10.93,108.1,86.57,12.8
tabialan,,,,,,,,
kurchum,32.0,KZ,1553058525.0,100.0,48.57,83.65,21.14,3.4
tolbazy,0.0,RU,1553056200.0,73.0,54.01,55.89,26.6,2.24
brindisi,75.0,IT,1553058256.0,82.0,40.63,17.94,55.4,11.41
khasan,32.0,RU,1553058526.0,55.0,42.43,130.64,51.56,4.63
nizwa,0.0,OM,1553058526.0,28.0,22.93,57.53,75.05,3.74
kapit,0.0,MY,1553058527.0,50.0,2.02,112.94,92.42,2.51
umarkot,0.0,PK,1553058528.0,54.0,25.37,69.74,80.81,6.76
kazalinsk,,,,,,,,
beboto,0.0,TD,1553058532.0,55.0,8.27,16.94,70.55,2.39
sorland,75.0,NO,1553055600.0,93.0,67.67,12.69,37.4,21.92
bacolod,24.0,PH,1553058532.0,56.0,10.68,122.95,86.84,13.58
airai,44.0,TL,1553058535.0,79.0,-8.93,125.41,79.19,0.16
kandi,8.0,BJ,1553058536.0,64.0,11.13,2.93,72.8,9.22
xinqing,80.0,CN,1553058536.0,61.0,48.28,129.53,31.58,3.96
poiana stampei,92.0,RO,1553058303.0,86.0,47.31,25.13,36.0,2.62
deputatskiy,0.0,RU,1553058537.0,64.0,69.3,139.9,-1.37,3.96
phrai bung,,,,,,,,
gazanjyk,92.0,TM,1553058538.0,97.0,39.24,55.52,44.9,11.23
nishihara,0.0,JP,1553058492.0,34.0,35.74,139.53,75.99,3.36
jiangyou,44.0,CN,1553058538.0,43.0,31.78,104.73,74.06,2.62
hasaki,0.0,JP,1553058276.0,32.0,35.73,140.83,72.0,6.93
kholm,88.0,RU,1553058540.0,82.0,57.15,31.18,34.1,15.26
ostrovnoy,64.0,RU,1553058541.0,95.0,68.05,39.51,27.62,14.47
beyneu,32.0,KZ,1553058541.0,82.0,45.32,55.19,46.79,3.62
eregli,0.0,TR,1553058542.0,76.0,37.51,34.05,44.0,3.4
raudeberg,75.0,NO,1553058303.0,93.0,61.99,5.14,42.01,17.22
atasu,0.0,KZ,1553058372.0,96.0,48.68,71.64,30.14,6.98
vardo,1.0,US,1553058340.0,72.0,39.62,-77.74,37.4,2.39
kontagora,0.0,NG,1553058544.0,77.0,10.4,5.47,74.06,5.64
lipin bor,88.0,RU,1553058545.0,95.0,60.26,37.97,33.74,10.78
pavilosta,36.0,LV,1553055600.0,100.0,56.89,21.19,32.0,16.82
umea,0.0,SE,1553055600.0,92.0,63.83,20.26,28.4,9.17
kuah,,,,,,,,
jiddah,,,,,,,,
barcelona,40.0,ES,1553058543.0,76.0,41.38,2.18,50.0,5.82
rognan,75.0,NO,1553058279.0,89.0,67.1,15.4,35.6,14.99
kaeng khlo,,,,,,,,
qena,0.0,EG,1553054400.0,51.0,26.16,32.72,60.8,4.18
sibolga,24.0,ID,1553058551.0,95.0,1.74,98.78,76.4,2.06
waw,,,,,,,,
osmena,8.0,PH,1553058552.0,86.0,12.17,124.59,83.06,11.79
chaykovskiy,48.0,RU,1553058020.0,71.0,56.77,54.11,32.0,1.01
sinkat,,,,,,,,
warqla,,,,,,,,
silyanah,,,,,,,,
kushmurun,,,,,,,,
mamakan,68.0,RU,1553058553.0,51.0,57.82,114.02,18.44,3.51
khatanga,80.0,RU,1553058356.0,93.0,71.98,102.47,13.4,10.67
wendo,0.0,ET,1553058554.0,47.0,6.6,38.42,69.92,4.07
baykit,32.0,RU,1553058554.0,65.0,61.68,96.39,18.89,6.98
atbasar,24.0,KZ,1553058554.0,87.0,51.81,68.36,24.02,10.11
daxian,,,,,,,,
lengshuijiang,0.0,CN,1553058555.0,66.0,27.66,111.45,80.72,11.68
bilibino,48.0,RU,1553058555.0,65.0,68.06,166.44,-9.56,3.62
hirara,20.0,JP,1553054400.0,73.0,24.8,125.28,78.8,13.87
leningradskiy,68.0,RU,1553058556.0,77.0,69.38,178.42,-3.89,35.72
yatou,75.0,CM,1553054400.0,100.0,3.63,9.81,80.6,2.24
berlevag,0.0,NO,1553053800.0,68.0,70.86,29.09,24.8,18.34
nawa,0.0,IN,1553058557.0,26.0,27.02,75.0,85.76,4.41
abu kamal,0.0,SY,1553058557.0,31.0,34.45,40.92,54.8,4.52
erzin,0.0,TR,1553058546.0,87.0,36.95,36.2,55.99,5.82
sundsvall,92.0,SE,1553058167.0,92.0,62.39,17.31,30.0,3.36
granada,0.0,NI,1553058561.0,89.0,11.93,-85.96,79.46,14.03
polyarnyy,0.0,RU,1553056200.0,84.0,69.2,33.45,5.0,2.24
naftah,,,,,,,,
semnan,20.0,IR,1553054400.0,52.0,35.58,53.39,46.4,4.07
jizan,20.0,SA,1553054400.0,83.0,16.89,42.56,78.8,3.74
meyungs,,,,,,,,
novobirilyussy,20.0,RU,1553058563.0,77.0,56.95,90.69,27.17,4.97
dalbandin,0.0,PK,1553058563.0,56.0,28.9,64.41,64.97,4.18
awjilah,24.0,LY,1553058563.0,39.0,29.14,21.3,61.64,11.45
omsukchan,12.0,RU,1553058564.0,65.0,62.53,155.8,-6.14,4.63
teguldet,44.0,RU,1553058410.0,66.0,57.31,88.17,29.96,4.07
behbahan,0.0,IR,1553054400.0,66.0,30.59,50.24,55.4,4.7
umm kaddadah,0.0,SD,1553058564.0,12.0,13.6,26.69,67.04,13.02
hobyo,0.0,SO,1553058565.0,74.0,5.35,48.53,83.6,13.13
sobolevo,36.0,RU,1553058565.0,88.0,54.43,31.9,31.4,10.11
beidao,0.0,CN,1553058565.0,73.0,34.57,105.89,50.3,6.42
jilin,92.0,CN,1553058565.0,90.0,43.84,126.54,51.56,9.78
doha,0.0,QA,1553056200.0,45.0,25.29,51.53,68.0,11.41
ust-bolsheretsk,,,,,,,,
yuli,0.0,NG,1553058566.0,56.0,10.52,9.86,65.33,2.73
palana,80.0,RU,1553058567.0,64.0,59.08,159.95,12.5,5.08
komsomolskiy,88.0,RU,1553058567.0,95.0,67.55,63.78,30.77,8.66
chitral,80.0,PK,1553058567.0,87.0,35.85,71.79,20.42,0.6
jiujiang,0.0,CN,1553058568.0,96.0,29.73,115.99,73.61,10.0
rudnogorsk,68.0,RU,1553058568.0,71.0,57.27,103.75,28.43,3.96
raga,,,,,,,,
belyy yar,40.0,RU,1553056200.0,73.0,53.6,91.39,26.6,6.71
vershino-darasunskiy,68.0,RU,1553058569.0,56.0,52.35,115.52,28.52,4.18
sueyoshi,75.0,JP,1553058190.0,45.0,31.65,131.02,66.0,10.29
labuan,75.0,BN,1553056200.0,94.0,5.28,115.24,84.2,7.76
kollam,40.0,IN,1553056200.0,66.0,8.88,76.6,87.8,5.82
fukue,75.0,JP,1553058347.0,51.0,35.03,136.69,73.0,4.7
ateli,0.0,IN,1553058570.0,23.0,28.1,76.28,87.56,5.08
sentyabrskiy,,,,,,,,
dzhankoy,0.0,UA,1553058571.0,89.0,45.71,34.39,41.75,8.1
benghazi,32.0,LY,1553058571.0,90.0,32.12,20.07,64.16,19.51
afyonkarahisar,20.0,TR,1553057400.0,84.0,38.76,30.53,35.6,3.06
bajil,20.0,ES,1553058572.0,98.0,38.23,-2.07,36.71,2.62
baruun-urt,76.0,MN,1553058572.0,49.0,46.68,113.28,25.46,15.14
kanniyakumari,0.0,IN,1553058398.0,100.0,8.08,77.57,83.24,1.39
shimoda,0.0,JP,1553058174.0,45.0,34.7,138.93,66.2,9.17
razumnoye,0.0,RU,1553056200.0,80.0,50.53,36.69,41.0,6.71
rauma,0.0,FI,1553057400.0,86.0,61.13,21.5,28.4,9.17
sakakah,,,,,,,,
umm lajj,64.0,SA,1553058574.0,90.0,25.02,37.27,68.84,4.41
yirol,,,,,,,,
lashio,12.0,MM,1553058574.0,57.0,22.93,97.75,76.94,2.73
beringovskiy,0.0,RU,1553058422.0,100.0,63.05,179.32,-6.32,3.62
pyatnitskoye,20.0,RU,1553056200.0,93.0,54.34,35.89,35.6,6.71
xucheng,56.0,CN,1553058504.0,99.0,33.0,118.51,75.0,8.01
abha,0.0,SA,1553054400.0,36.0,18.22,42.5,64.4,6.93
buraydah,20.0,SA,1553054400.0,51.0,26.33,43.97,60.8,5.82
bayan,12.0,MN,1553058577.0,39.0,47.25,107.54,22.4,10.56
buta,12.0,CD,1553058577.0,82.0,2.79,24.73,76.85,2.95
mullaitivu,,,,,,,,
nyazepetrovsk,0.0,RU,1553058578.0,81.0,56.06,59.6,31.58,3.74
poso,0.0,ID,1553058578.0,98.0,-1.4,120.75,84.5,6.08
hingatungan,8.0,PH,1553058578.0,98.0,10.58,125.19,81.17,16.15
pemangkat,,,,,,,,
liepaja,32.0,LV,1553055600.0,100.0,56.52,21.02,37.4,13.47
ossora,76.0,RU,1553058579.0,93.0,59.24,163.07,6.74,5.53
sedelnikovo,,,,,,,,
kashi,,,,,,,,
bentiu,,,,,,,,
tiksi,0.0,RU,1553058581.0,56.0,71.64,128.87,-6.05,11.23
jawhar,0.0,IN,1553058581.0,33.0,19.91,73.23,90.8,4.97
valkla,90.0,EE,1553058487.0,92.0,59.48,25.33,32.0,13.87
svirsk,44.0,RU,1553058582.0,58.0,53.07,103.34,31.04,3.74
hunza,,,,,,,,
mastung,0.0,PK,1553058582.0,62.0,29.8,66.85,51.92,6.42
gorkovskoye,,,,,,,,
manzhouli,0.0,CN,1553058583.0,23.0,49.6,117.43,30.95,8.99
kudahuvadhoo,80.0,MV,1553058583.0,100.0,2.67,72.89,83.69,10.22
kirkuk,0.0,IQ,1553058583.0,80.0,35.47,44.4,51.56,4.52
suluq,8.0,LY,1553058584.0,50.0,31.67,20.25,59.84,16.04
mora,0.0,PT,1553058326.0,83.0,38.94,-8.17,46.0,11.79
kulhudhuffushi,0.0,MV,1553058584.0,100.0,6.62,73.07,84.32,8.43
yanam,40.0,IN,1553056200.0,46.0,16.73,82.22,89.6,5.82
pizhma,88.0,RU,1553058585.0,97.0,57.86,47.12,35.09,7.2
miastko,20.0,PL,1553058543.0,85.0,54.0,16.98,28.99,1.01
vanavara,44.0,RU,1553058585.0,60.0,60.35,102.28,22.94,4.07
chingirlau,36.0,KZ,1553058586.0,100.0,51.09,54.08,27.89,6.2
bam,0.0,IR,1553058586.0,21.0,29.11,58.36,64.97,3.06
tasbuget,,,,,,,,
maarianhamina,,,,,,,,
masjed-e soleyman,,,,,,,,
anadyr,0.0,RU,1553056200.0,70.0,64.73,177.51,-0.41,4.47
